code,coname,house,analyst,carm,yy,mm,dd,title
36490,SK머티리얼즈,동양증권,이승진,-0.031218773,2010.0,8.0,30.0,디스플레이
37150,CJ인터넷,동양증권,이창영,0.0055812268,2010.0,8.0,30.0,인터넷
48260,오스템임플란트,동양증권,오승규,0.0421754267,2010.0,7.0,5.0,오스템임플란트
51910,LG화학,동양증권,황규원,0.0116812268,2010.0,8.0,30.0,화학/에너지
53280,예스24,동양증권,이창영,0.0468812268,2010.0,8.0,30.0,인터넷
62860,티엘아이,동양증권,이승진,-0.047918773,2010.0,8.0,30.0,디스플레이
65680,우주일렉트로,동양증권,이승진,0.0155812268,2010.0,8.0,30.0,디스플레이
82850,우리바이오,동양증권,이승진,0.0036812268,2010.0,8.0,30.0,디스플레이
93050,LF,동양증권,한상화,-0.063682245,2010.0,3.0,2.0,LG패션
5280,부산은행,리딩투자증권,김호영,0.0470666465,2010.0,9.0,27.0,"부산은행,경남은행"
78930,GS,메리츠종금증권,최지혜,-0.028299068,2010.0,10.0,18.0,GS
880,한화,부국증권,최상도,-0.016970098,2010.0,3.0,30.0,한화
12450,한화에어로스페이스,부국증권,장인범,-0.045024573,2010.0,7.0,5.0,삼성테크윈
65680,우주일렉트로,부국증권,이형석,0.0118223378,2010.0,7.0,30.0,우주일렉트로
72870,메가스터디,부국증권,김성훈,0.0846223378,2010.0,7.0,30.0,메가스터디
81580,성우전자,부국증권,이형석,-0.025024573,2010.0,7.0,5.0,성우전자
95720,웅진씽크빅,부국증권,김성훈,0.0412754267,2010.0,7.0,5.0,웅진씽크빅
11170,롯데케미칼,삼성증권,박정아,0.0694176464,2010.0,11.0,30.0,호남석유화학
33780,KT&G,이트레이드증권,조기영,-0.037590215,2010.0,11.0,22.0,KT&G
720,현대건설,토러스투자증권,이경자,-0.07603785,2010.0,3.0,29.0,현대건설
15760,한국전력,토러스투자증권,이경자,-0.020864472,2010.0,2.0,24.0,한국전력
35720,카카오,토러스투자증권,김동희,-0.008122857,2010.0,3.0,9.0,다음
36460,한국가스공사,토러스투자증권,이경자,-0.000364472,2010.0,2.0,24.0,한국가스공사
51600,한전KPS,토러스투자증권,이경자,0.1803425073,2010.0,1.0,11.0,한전KPS
93050,LF,토러스투자증권,박수민,-0.027106168,2010.0,11.0,25.0,LG패션
19170,신풍제약,하나대투증권,조윤정,0.0008858201,2010.0,6.0,23.0,신풍제약
69260,휴켐스,흥국증권,이동욱,0.0429516861,2010.0,1.0,27.0,휴켐스
1230,동국제강,HMC투자증권,박현욱,0.0468502983,2011.0,2.0,28.0,동국제강
4020,현대제철,HMC투자증권,박현욱,0.0189502983,2011.0,2.0,28.0,현대제철
1680,대상,KTB투자증권,김민정,0.0390533505,2011.0,9.0,5.0,대상
2270,롯데푸드,KTB투자증권,김민정,0.0288533505,2011.0,9.0,5.0,롯데삼강
4370,농심,KTB투자증권,김민정,0.0160533505,2011.0,9.0,5.0,농심
5180,빙그레,KTB투자증권,김민정,-0.01814665,2011.0,9.0,5.0,빙그레
96770,SK이노베이션,대신증권,안상희,0.0090727284,2011.0,12.0,1.0,SK이노베이션
210,대림산업,동양증권,정상협,0.0608959777,2011.0,11.0,30.0,대림산업
830,삼성물산,동양증권,정상협,0.0811959777,2011.0,11.0,30.0,삼성물산
1800,오리온홀딩스,동양증권,강현희,-0.084579617,2011.0,11.0,28.0,오리온
12630,HDC,동양증권,정상협,0.0597959777,2011.0,11.0,30.0,현대산업
28050,삼성엔지니어링,동양증권,정상협,0.0555959777,2011.0,11.0,30.0,삼성엔지니어링
33780,KT&G,동양증권,강현희,-0.005779617,2011.0,11.0,28.0,KT&G
97950,CJ제일제당,동양증권,강현희,-0.031279617,2011.0,11.0,28.0,CJ제일제당
880,한화,부국증권,최상도,0.0020128096,2011.0,4.0,1.0,한화
12330,현대모비스,부국증권,안종훈,-0.114627212,2011.0,2.0,1.0,현대모비스
12450,한화에어로스페이스,부국증권,장인범,-0.008327212,2011.0,2.0,1.0,삼성테크윈
35760,CJ ENM,부국증권,김성훈,0.0606128096,2011.0,4.0,1.0,CJ오쇼핑
51910,LG화학,부국증권,최상도,0.0349727875,2011.0,2.0,1.0,LG화학
56190,에스에프에이,부국증권,장인범,0.0851191602,2011.0,3.0,2.0,에스에프에이
72470,우리산업홀딩스,부국증권,안종훈,-0.04698084,2011.0,3.0,2.0,우리산업
79160,CJ CGV,부국증권,김성훈,0.0281727875,2011.0,2.0,1.0,CJ CGV
80160,모두투어,부국증권,김성훈,-0.022631903,2011.0,7.0,4.0,모두투어
101170,우림기계,부국증권,안종훈,-0.009477177,2011.0,7.0,4.0,우림기계
20000,한섬,신영증권,서정연,-0.055624665,2011.0,10.0,6.0,한섬
23530,롯데쇼핑,신영증권,서정연,0.0084507592,2011.0,10.0,18.0,롯데쇼핑
69620,대웅제약,신영증권,김현태,-0.006967054,2011.0,1.0,20.0,대웅제약
69620,대웅제약,신영증권,김현태,-0.07621176,2011.0,10.0,25.0,대웅제약
93050,LF,신영증권,서정연,0.0006753352,2011.0,10.0,6.0,LG패션
810,삼성화재,우리투자증권,한승희,0.0517019513,2011.0,11.0,1.0,삼성화재
4800,효성,유진투자증권,곽진희,-0.045846372,2011.0,7.0,5.0,효성
9830,한화솔루션,유진투자증권,곽진희,-0.016046372,2011.0,7.0,5.0,한화케미칼
10060,OCI,유진투자증권,곽진희,0.0569536277,2011.0,7.0,5.0,OCI
11170,롯데케미칼,유진투자증권,곽진희,0.0512536277,2011.0,7.0,5.0,호남석유화학
11780,금호석유,유진투자증권,곽진희,-0.009546372,2011.0,7.0,5.0,금호석유화학
64420,케이피케미칼,유진투자증권,곽진희,-0.042646372,2011.0,7.0,5.0,케이피케미칼
1430,세아베스틸,이트레이드증권,조강운,-0.059014178,2011.0,5.0,11.0,세아베스틸
4020,현대제철,이트레이드증권,조강운,-0.017314178,2011.0,5.0,11.0,현대제철
4150,한솔홀딩스,이트레이드증권,양지혜,-0.009570081,2011.0,4.0,6.0,한솔제지
4370,농심,이트레이드증권,조기영,0.0025418993,2011.0,5.0,16.0,농심
10130,고려아연,이트레이드증권,조강운,-0.081214178,2011.0,5.0,11.0,고려아연
35420,NAVER,이트레이드증권,성종화,-0.068758101,2011.0,5.0,16.0,NHN
35420,NAVER,이트레이드증권,성종화,0.0236203834,2011.0,11.0,28.0,NHN
35720,카카오,이트레이드증권,성종화,0.0226418993,2011.0,5.0,16.0,다음
35720,카카오,이트레이드증권,성종화,-0.001479617,2011.0,11.0,28.0,다음
36570,엔씨소프트,이트레이드증권,성종화,-0.075279617,2011.0,11.0,28.0,엔씨소프트
55550,신한지주,이트레이드증권,하학수,-0.057614178,2011.0,5.0,11.0,신한금융
78930,GS,이트레이드증권,오승규,0.0973771991,2011.0,5.0,18.0,GS
95660,네오위즈,이트레이드증권,성종화,0.0263418993,2011.0,5.0,16.0,네오위즈게임즈
95660,네오위즈,이트레이드증권,성종화,-0.026779617,2011.0,11.0,28.0,네오위즈게임즈
97950,CJ제일제당,이트레이드증권,조기영,0.0284418993,2011.0,5.0,16.0,CJ제일제당
112040,위메이드,이트레이드증권,성종화,-0.015679617,2011.0,11.0,28.0,위메이드
9540,한국조선해양,키움증권,최원경,-0.017685662,2011.0,11.0,7.0,현대중공업
35720,카카오,토러스투자증권,김동희,-0.047557093,2011.0,3.0,14.0,다음
66270,SK컴즈,토러스투자증권,김동희,-0.112457093,2011.0,3.0,14.0,SK컴즈
6400,삼성SDI,하이투자증권,남대종,0.0707203834,2011.0,11.0,28.0,삼성SDI
77360,덕산하이메탈,하이투자증권,남대종,-0.009979617,2011.0,11.0,28.0,덕산하이메탈
5930,삼성전자,한국투자증권,한승훈,-0.01138084,2011.0,3.0,2.0,삼성전자
270,기아차,한맥투자증권,류연화,0.0207416561,2011.0,12.0,30.0,기아차
5380,현대차,한맥투자증권,류연화,0.0323416561,2011.0,12.0,30.0,현대차
12330,현대모비스,한맥투자증권,류연화,0.0458416561,2011.0,12.0,30.0,현대모비스
270,기아차,한화투자증권,강상민,0.0220814121,2011.0,9.0,6.0,重厚長大
5850,에스엘,한화투자증권,강상민,-0.007796945,2011.0,10.0,24.0,에스엘
92200,디아이씨,한화투자증권,강상민,0.0990030551,2011.0,10.0,24.0,디아이씨
10060,OCI,현대증권,백영찬,-0.004524665,2011.0,10.0,6.0,OCI
880,한화,KB투자증권,이상원,0.0174460743,2012.0,4.0,12.0,한화
1040,CJ,KB투자증권,이상원,-0.021553926,2012.0,4.0,12.0,CJ
9830,한화솔루션,KB투자증권,박재철,0.0600012263,2012.0,12.0,28.0,한화케미칼
11170,롯데케미칼,KB투자증권,박재철,0.0530012263,2012.0,12.0,28.0,호남석유
17670,SK텔레콤,KB투자증권,이지연,-0.015701781,2012.0,1.0,9.0,SK텔레콤
18880,한온시스템,KB투자증권,신정관,-0.039453926,2012.0,4.0,12.0,한라공조
33630,SK브로드밴드,KB투자증권,이지연,-0.016801781,2012.0,1.0,9.0,SK브로드밴드
69260,휴켐스,KB투자증권,박재철,-0.039298774,2012.0,12.0,28.0,휴켐스
