code,idx,carm,carn,hprm,hprn,date,mret,yy,mm,dd,coname,house,analyst,title,recomm,tprice,cprice,eps,recommend,ch_recomm,ch_price,dev_price,ch_eps,pnum,nnum,tone,anal_cov,mkt,mv,beme,logmv,up_gr,down_gr,pos_tone,neg_tone,up_gr_size,down_gr_size,ch_price_size,ch_eps_size,pos_tone_size,neg_tone_size,up_gr_nanal,down_gr_nanal,ch_price_nanal,ch_eps_nanal,pos_tone_nanal,neg_tone_nanal,ch_price_up,ch_price_down,ch_price_pos,ch_price_neg,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,lrgcode,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind14,ind15,ind16,ind17,car
63080,1511,0.0578608664,0.0580947037,0.057193114,0.057330289,20140123.0,-1.049960877,2014.0,1.0,23.0,게임빌,하나대투증권,황승택,새출발,BUY,"68,000","44,150",2294.0,4.0,0.0,-0.546666667,0.5402038505,-0.433020267,0.0,0.0,0.0,18.0,코스닥,298072583200.0,0.5586692822,26.420602862,0.0,0.0,0.0,0.0,0.0,0.0,-14.4432629,-11.4406565,0.0,0.0,0.0,0.0,-9.84,-7.794364805,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7860866387
60,1717,-0.015367496,-0.01476749,-0.015508769,-0.014601453,20141126.0,0.0460512955,2014.0,11.0,26.0,메리츠화재,하이투자증권,유상호,메리츠화재보험,BUY,"14,000","12,300",1286.0,4.0,0.0,0.0,0.1382113821,0.0,0.0,0.0,0.0,19.0,유가증권시장,1535131300000.0,0.6793141079,28.059637044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.536749567
810,1717,0.0108325043,0.0114325096,0.0106626889,0.0115700044,20141126.0,0.0460512955,2014.0,11.0,26.0,삼성화재,하이투자증권,유상호,삼성화재보험,BUY,"370,000","312,500",20436.0,4.0,0.0,0.0,0.184,0.0,0.0,0.0,0.0,20.0,유가증권시장,12270083000000.0,0.6427702094,30.138185121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0832504333
1450,1717,-0.003567496,-0.00296749,-0.00372535,-0.002818034,20141126.0,0.0460512955,2014.0,11.0,26.0,현대해상,하이투자증권,유상호,현대해상보험,BUY,"32,000","27,000",2498.0,4.0,0.0,0.0,0.1851851852,0.0,0.0,0.0,0.0,19.0,유가증권시장,2905500000000.0,0.7065046452,28.697626608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.356749567
42660,1529,0.0387763998,0.0461709805,0.0386490955,0.0460528257,20140220.0,-0.655445292,2014.0,2.0,20.0,대우조선해양,한국투자증권,박민,탐방속보,매수,"43,000","34,050",1390.0,4.0,0.0,0.1315789474,0.2628487518,0.1910882605,0.0,0.0,0.0,21.0,유가증권시장,6698676500000.0,0.4372079542,29.53293109,0.0,0.0,0.0,0.0,0.0,0.0,3.8859119855,5.6433964294,0.0,0.0,0.0,0.0,2.7631578947,4.0128534704,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8776399769
92440,1648,0.0015736236,-0.016840216,0.0016113156,-0.017058485,20140813.0,1.0270501222,2014.0,8.0,13.0,기신정기,한화투자증권,정홍식,탐방노트,BUY,"10,000","7,710",808.0,4.0,0.0,0.0,0.2970168612,0.2059701493,0.0,0.0,0.0,1.0,유가증권시장,218416000000.0,0.9905617333,26.109667338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3778120786,0.0,0.0,0.0,0.0,0.0,0.2059701493,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1573623629
9520,1511,-0.072139134,-0.071905296,-0.069507653,-0.069370478,20140123.0,-1.049960877,2014.0,1.0,23.0,포스코엠텍,현대증권,김지환,포스코엠텍,BUY,"8,000","6,210",116.0,4.0,0.0,-0.466666667,0.2882447665,-0.475113122,0.0,0.0,0.0,3.0,코스닥,276507547920.0,0.5756679096,26.345503956,0.0,0.0,0.0,0.0,0.0,0.0,-12.29456851,-12.51709464,0.0,0.0,0.0,0.0,-1.4,-1.425339367,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.213913361
10520,1511,0.1205608664,0.1207947037,0.1205231601,0.1206603351,20140123.0,-1.049960877,2014.0,1.0,23.0,현대하이스코,현대증권,김지환,현대하이스코,BUY,"50,000","41,500",3984.0,4.0,0.0,-0.056603774,0.2048192771,0.2172318973,0.0,0.0,0.0,19.0,유가증권시장,946529925000.0,0.7418780197,27.576068424,0.0,0.0,0.0,0.0,0.0,0.0,-1.560909533,5.9904016649,0.0,0.0,0.0,0.0,-1.075471698,4.1274060495,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.056086639
12330,1774,0.0246075831,0.023361228,0.0249826101,0.0237814755,20150223.0,0.434726257,2015.0,2.0,23.0,현대모비스,IBK투자증권,이상현,펀더멘탈+후계구도,매수,"350,000","248,500",35157.0,4.0,0.0,0.0294117647,0.4084507042,-0.037137458,0.0,0.0,0.0,31.0,유가증권시장,22973152000000.0,1.0136169532,30.765347331,0.0,0.0,0.0,0.0,0.0,0.0,0.9048631568,-1.142546791,0.0,0.0,0.0,0.0,0.9117647059,-1.151261195,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4607583116
11200,1754,0.0058040403,0.0118677776,0.0052472516,0.0114484767,20150121.0,0.1746351172,2015.0,1.0,21.0,현대상선,KB투자증권,강성진,현대상선,HOLD,"9,000","10,350",134.0,3.0,0.0,-0.4,-0.130434783,-1.040181958,0.0,0.0,0.0,6.0,유가증권시장,1692732300000.0,0.3665718458,28.157365079,0.0,0.0,0.0,0.0,0.0,0.0,-11.26294603,-29.28878315,0.0,0.0,0.0,0.0,-2.4,-6.24109175,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5804040341
